====================================================================================================
MTL-TLV A-H COMPLETE TRAINING LOG
====================================================================================================
Run start time       : 2026-09-08T15:45:52+08:00
Operating system     : Windows-10-10.0.26200-SP0
Python               : 3.9.25
PyTorch              : 2.1.1+cu118
CUDA runtime         : 11.8
cuDNN                : 8700
Device               : cuda:0
GPU                  : NVIDIA GeForce RTX 4090 D
GPU memory           : 23.99 GiB
----------------------------------------------------------------------------------------------------
CUBLAS_WORKSPACE_CONFIG: :4096:8
cudnn.deterministic  : True
cudnn.benchmark      : False
CUDA matmul TF32     : False
cuDNN TF32           : False
deterministic algorithms: True
====================================================================================================
Starting SMAC hyperparameter optimization
========================================================================================
SMAC trial 1/10 | LR=0.01 | WD=1e-06 | loss_weight=0.1
  Epoch 050/100 | Val Loss=3.0651 | Acc=94.89% | Precision=94.21% | Recall=91.67% | MAE=4.0488
  Epoch 051/100 | Val Loss=2.9366 | Acc=94.26% | Precision=93.43% | Recall=90.69% | MAE=3.6526
  Epoch 052/100 | Val Loss=3.7809 | Acc=94.44% | Precision=94.59% | Recall=89.95% | MAE=5.0882
  Epoch 053/100 | Val Loss=3.4706 | Acc=93.90% | Precision=92.93% | Recall=90.20% | MAE=4.6849
  Epoch 054/100 | Val Loss=3.7950 | Acc=94.08% | Precision=93.40% | Recall=90.20% | MAE=5.1811
  Epoch 055/100 | Val Loss=2.9293 | Acc=94.35% | Precision=92.18% | Recall=92.40% | MAE=3.7256
  Epoch 056/100 | Val Loss=2.9379 | Acc=94.44% | Precision=91.79% | Recall=93.14% | MAE=3.6583
  Epoch 057/100 | Val Loss=2.8517 | Acc=94.53% | Precision=92.42% | Recall=92.65% | MAE=3.5251
  Epoch 058/100 | Val Loss=2.7783 | Acc=94.53% | Precision=92.84% | Recall=92.16% | MAE=3.6856
  Epoch 059/100 | Val Loss=3.1617 | Acc=94.35% | Precision=92.38% | Recall=92.16% | MAE=4.3246
  Epoch 060/100 | Val Loss=2.9780 | Acc=94.53% | Precision=92.42% | Recall=92.65% | MAE=3.9725
  Epoch 061/100 | Val Loss=3.2737 | Acc=94.89% | Precision=94.21% | Recall=91.67% | MAE=4.4106
  Epoch 062/100 | Val Loss=2.7314 | Acc=94.98% | Precision=93.35% | Recall=92.89% | MAE=3.5789
  Epoch 063/100 | Val Loss=4.0543 | Acc=94.89% | Precision=94.43% | Recall=91.42% | MAE=5.4494
  Epoch 064/100 | Val Loss=3.5851 | Acc=94.80% | Precision=93.75% | Recall=91.91% | MAE=4.6815
  Epoch 065/100 | Val Loss=3.1478 | Acc=94.80% | Precision=92.48% | Recall=93.38% | MAE=3.9887
  Epoch 066/100 | Val Loss=2.8117 | Acc=95.16% | Precision=92.96% | Recall=93.87% | MAE=3.5457
  Epoch 067/100 | Val Loss=2.6874 | Acc=94.89% | Precision=93.12% | Recall=92.89% | MAE=3.4009
  Epoch 068/100 | Val Loss=2.9462 | Acc=95.34% | Precision=94.72% | Recall=92.40% | MAE=3.9427
  Epoch 069/100 | Val Loss=3.0699 | Acc=94.89% | Precision=92.09% | Recall=94.12% | MAE=4.0498
  Epoch 070/100 | Val Loss=2.8631 | Acc=95.43% | Precision=93.43% | Recall=94.12% | MAE=3.7752
  Epoch 071/100 | Val Loss=2.5947 | Acc=95.25% | Precision=92.98% | Recall=94.12% | MAE=3.3808
  Epoch 072/100 | Val Loss=2.5922 | Acc=94.89% | Precision=92.09% | Recall=94.12% | MAE=3.3890
  Epoch 073/100 | Val Loss=2.7938 | Acc=95.25% | Precision=93.61% | Recall=93.38% | MAE=3.6533
  Epoch 074/100 | Val Loss=2.5133 | Acc=94.80% | Precision=91.87% | Recall=94.12% | MAE=3.2119
  Epoch 075/100 | Val Loss=2.6098 | Acc=95.07% | Precision=94.01% | Recall=92.40% | MAE=3.3915
  Epoch 076/100 | Val Loss=2.4657 | Acc=95.07% | Precision=92.33% | Recall=94.36% | MAE=3.2464
  Epoch 077/100 | Val Loss=2.7605 | Acc=95.52% | Precision=95.20% | Recall=92.40% | MAE=3.6955
  Epoch 078/100 | Val Loss=2.8586 | Acc=95.25% | Precision=95.17% | Recall=91.67% | MAE=3.8038
  Epoch 079/100 | Val Loss=2.6017 | Acc=95.61% | Precision=94.54% | Recall=93.38% | MAE=3.3969
